HBA;HBD;Molar ratio;Temperature (C);Pressure (bar);log 10 x_sol H2S;log 10 x_sol CO2;log 10 x_sol CH4;solubility H2S;solubility CO2;solubility CH4;Selectivity of H2S/ CH4;Selectivity of CO2/ CH4;Performance Index
tetrabutylammonium chloride;Levulinic acid; 1& 1;323.15;2;-0.42689214;-1.48684259;-2.44939429;0.374203513;0.032595482;0.003553086;842.5431208;73.39081102;61834.92295
tetrabutylammonium chloride;Levulinic acid; 1& 1;333.15;2;-0.5049995;-1.57510429;-2.48549841;0.312608297;0.026600862;0.003269652;764.8722363;65.08547924;49782.07606
tetrabutylammonium chloride;Levulinic acid; 1& 1;303.15;3;-0.18076382;-1.12653828;-2.19376791;0.659532468;0.074724277;0.006400768;824.3166594;93.39413777;76986.34365
tetrabutylammonium chloride;Levulinic acid; 1& 1;313.15;3;-0.24124708;-1.22402752;-2.23509108;0.573789927;0.059699746;0.005819812;788.7402195;82.0641635;64727.30634
tetrabutylammonium chloride;Levulinic acid; 1& 1;323.15;3;-0.3057731;-1.31608025;-2.27365774;0.49456901;0.048296955;0.005325278;742.9757294;72.55502181;53906.62025
tetrabutylammonium chloride;Levulinic acid; 1& 1;333.15;3;-0.37348905;-1.40324089;-2.30972686;0.423166179;0.039514738;0.00490087;690.76098;64.50241231;44555.74954
tetrabutylammonium chloride;Levulinic acid;1&2;303.15;1;-0.54924334;-1.66837237;-2.73706156;0.282329761;0.021459897;0.001832055;1232.84423;93.70854118;115528.0343
tetrabutylammonium chloride;Levulinic acid;1&2;313.15;1;-0.63843434;-1.76784071;-2.77651986;0.229914128;0.017067083;0.001672939;1099.450059;81.61484065;89731.44138
tetrabutylammonium chloride;Levulinic acid;1&2;323.15;1;-0.72742811;-1.86078217;-2.81328801;0.187314712;0.013779004;0.001537135;974.8771407;71.7126592;69911.03215
tetrabutylammonium chloride;Levulinic acid;1&2;333.15;1;-0.81477681;-1.94808139;-2.84762139;0.153187451;0.011269862;0.001420295;862.8485368;63.4789869;54772.75097
tetrabutylammonium chloride;Levulinic acid;1&2;303.15;2;-0.31262133;-1.37551685;-2.43639419;0.486831499;0.042119494;0.003661051;1063.807008;92.03803267;97910.70416
tetrabutylammonium chloride;Levulinic acid;1&2;313.15;2;-0.42431482;-1.47312419;-2.47581341;0.376430825;0.033641535;0.003343387;900.7174508;80.49690951;72504.97113
tetrabutylammonium chloride;Levulinic acid;1&2;323.15;2;-0.49626005;-1.56469948;-2.51254893;0.318962737;0.02724586;0.003072211;830.5750232;70.94788232;58927.539
tetrabutylammonium chloride;Levulinic acid;1&2;333.15;2;-0.56948297;-1.65098263;-2.54685481;0.2694741;0.022336616;0.002838868;759.3846724;62.94513466;47799.57046
tetrabutylammonium chloride;Levulinic acid;1&2;303.15;3;0;-1.20736356;-2.26066406;1;0.06203495;0.005487012;1457.988327;90.4462337;131869.553
tetrabutylammonium chloride;Levulinic acid;1&2;313.15;3;0;-1.3032039;-2.3000445;1;0.049750345;0.005011359;1596.373416;79.42012879;126784.1823
tetrabutylammonium chloride;Levulinic acid;1&2;323.15;3;-0.38148254;-1.39346798;-2.33674761;0.415448753;0.040414017;0.004605241;721.6972609;70.20525433;50666.93975
tetrabutylammonium chloride;Levulinic acid;1&2;333.15;3;-0.44450563;-1.47876342;-2.37102617;0.359330739;0.03320753;0.004255728;675.4769395;62.4241643;42166.08346
tetraethylammonium bromide;Levulinic acid; 1& 1;303.15;1;-0.57390973;-1.79537531;-2.94086466;0.266741304;0.016018605;0.00114587;1862.279733;111.8354107;208268.8188
tetraethylammonium bromide;Levulinic acid; 1& 1;313.15;1;-0.67246019;-1.89734434;-2.98000043;0.212588521;0.012666472;0.001047128;1624.165298;96.77118897;157172.4069
tetraethylammonium bromide;Levulinic acid; 1& 1;323.15;1;-0.76921465;-1.99248338;-3.01624295;0.170131742;0.010174583;0.00096329;1412.922324;84.49860847;119389.9703
tetraethylammonium bromide;Levulinic acid; 1& 1;333.15;1;-0.86305977;-2.08172779;-3.04987849;0.137069311;0.008284613;0.0008915;1230.010183;74.34310349;91442.77435
tetraethylammonium bromide;Levulinic acid; 1& 1;303.15;2;-0.35331863;-1.50028706;-2.63999119;0.4432833;0.031601881;0.002290914;1547.970026;110.3555341;170827.059
tetraethylammonium bromide;Levulinic acid; 1& 1;313.15;2;-0.43692139;-1.60079641;-2.6791014;0.365660973;0.025072844;0.002093624;1397.236741;95.80650048;133864.3625
tetraethylammonium bromide;Levulinic acid; 1& 1;323.15;2;-0.52097228;-1.69488735;-2.71532351;0.301319834;0.0201889;0.00192609;1251.529863;83.85445622;104946.3561
tetraethylammonium bromide;Levulinic acid; 1& 1;333.15;2;-0.60438864;-1.78336068;-2.7489426;0.248663109;0.016467942;0.001782614;1115.947971;73.90467423;82473.77127
tetraethylammonium bromide;Levulinic acid; 1& 1;303.15;3;-0.23851402;-1.32995949;-2.4640557;0.577412232;0.046777877;0.003435139;1344.719389;108.9397055;146493.3343
tetraethylammonium bromide;Levulinic acid; 1& 1;313.15;3;-0.31320933;-1.42908321;-2.50314051;0.486172814;0.037232036;0.003139493;1238.856965;94.87401653;117535.3362
tetraethylammonium bromide;Levulinic acid; 1& 1;323.15;3;-0.38885865;-1.52216447;-2.53934232;0.408452304;0.030049381;0.002888402;1131.289241;83.22768926;94154.58944
tetraethylammonium bromide;Levulinic acid; 1& 1;333.15;3;-0.46481809;-1.60989192;-2.57294505;0.342911389;0.024553199;0.002673345;1026.164407;73.4755959;75398.04132
tetraethylammonium bromide;Levulinic acid;1&2;303.15;1;-0.63536103;-1.86978672;-2.98753163;0.231546899;0.013496255;0.001029126;1799.950604;104.9143507;188840.6489
tetraethylammonium bromide;Levulinic acid;1&2;313.15;1;-0.73379175;-1.96834963;-3.02325307;0.184590034;0.01075599;0.000947866;1557.942077;90.78067905;141431.0397
tetraethylammonium bromide;Levulinic acid;1&2;323.15;1;-0.82985782;-2.06016877;-3.05635806;0.14795927;0.008706252;0.000878298;1347.690686;79.30111195;106873.37
tetraethylammonium bromide;Levulinic acid;1&2;333.15;1;-0.92253324;-2.14619558;-3.08710419;0.119527204;0.007141746;0.000818268;1168.586694;69.82301484;81594.24609
tetraethylammonium bromide;Levulinic acid;1&2;303.15;2;-0.40955172;-1.57291462;-2.68653105;0.389446926;0.02673532;0.002058112;1513.802845;103.9217418;157317.0283
tetraethylammonium bromide;Levulinic acid;1&2;313.15;2;-0.49304428;-1.67046654;-2.72224376;0.32133329;0.021356666;0.001895642;1356.092978;90.12955089;122224.051
tetraethylammonium bromide;Levulinic acid;1&2;323.15;2;-0.57677151;-1.76155312;-2.75534213;0.264989393;0.017315972;0.001756539;1206.87032;78.86403562;95178.6639
tetraethylammonium bromide;Levulinic acid;1&2;333.15;2;-0.65961;-1.84704229;-2.78608321;0.218972713;0.014221903;0.001636503;1070.442139;69.52338465;74420.76054
tetraethylammonium bromide;Levulinic acid;1&2;303.15;3;0;-1.4008583;-2.51046849;1;0.039732116;0.003086964;2591.543345;102.967502;266844.7446
tetraethylammonium bromide;Levulinic acid;1&2;313.15;3;-0.36719685;-1.49744636;-2.54617261;0.429341778;0.031809265;0.002843331;1207.996698;89.498599;108114.012
tetraethylammonium bromide;Levulinic acid;1&2;323.15;3;-0.44228347;-1.58782975;-2.57926446;0.361174042;0.025832727;0.002634727;1096.657409;78.43767227;86019.25443
tetraethylammonium bromide;Levulinic acid;1&2;333.15;3;-0.51753534;-1.67279847;-2.61000057;0.303713894;0.0212423;0.002454706;989.8177031;69.22964219;68524.72542
tetraethylammonium bromide;Levulinic acid; 1& 3;303.15;1;-0.67895278;-1.90769683;-3.00685137;0.209434016;0.012368105;0.000984348;1702.113738;100.5181593;171093.3398
tetraethylammonium bromide;Levulinic acid; 1& 3;313.15;1;-0.77620606;-2.00438239;-3.04095255;0.167414835;0.009899599;0.000910013;1471.758243;87.02822923;128084.5138
tetraethylammonium bromide;Levulinic acid; 1& 3;323.15;1;-0.87081151;-2.09436632;-3.07256903;0.13464446;0.008046994;0.000846118;1273.055997;76.08388789;96859.04974
tetraethylammonium bromide;Levulinic acid; 1& 3;333.15;1;-0.96191574;-2.17861713;-3.10194358;0.109165211;0.006628006;0.000790781;1104.378204;67.05272575;74051.56887
